abv,beer_desc,beer_img,beer_name,beer_rank,beer_style,brewer,est_cal,ibu,mean,overall_score,review_count,state,style_score,wgt_avg
,"Are you an IPA fan?
If you answered yes you are in luck! If you answered no, don’t sweat it, this brew is for you too.
An IPA that weighs in at 7.0% ABV and boast a range of hops that puts it at 70IBU’s this IPA will go down smooth. This brew has a pleasant citrus/piney aroma so pleasing your nose won’t want your mouth to steal the moment! A woodsy initial taste leaves just the right amount of bitterness lingering on your palate, it finishes smooth with pleasing tones and urges you to have another! Feelin’ Naughty??",,Salty Nut HopNaughty IPA,25,India Pale Ale (IPA),Salty Nut Brewery,,228,3.63/5.0,84,10,ALABAMA,68,3.44
,This years batch is a Spelt Saison brewed with Motueka hops and Hibiscus! And Brett of course.,,Anchorage 2016 Rondy Brew Saison,25,Saison,Anchorage Brewing Company,30,,/,98,44,ALASKA,97,
13%,"Safeword aged on coffee, cocoa nibs, cinnamon and chiles.",,Superstition Amante ,25,Mead,Superstition Meadery,390,,4.19/5.0,99,16,ARIZONA,98,3.95
5%,"Expect a robust, slightly sweet malt character on the front of the tongue, notes of alpine flowers and just-baked bread as it goes back through the palate. A clean, mildly bitter finish to round things off. A delicious classic pilsner. Hops: Mt. Hood, Saaz",,Lost Forty Bare Bones Pilsner,25,Pilsener,Lost Forty Brewing,150,27,3.28/5.0,47,9,ARKANSAS,,3.17
12.4%,"Remy is a travel buddy whose life, at times, has rivaled that of the world’s most interesting men--free-spirited, adventurous, and with a penchant for fast women, whiskey, and beer: the perfect inspiration for something truly special. For Remy’s Pappy, we filled barrels from an exceptional bourbon distillery with our award-winning Imperial Russian Stout and let them sleep for many months. The transformation results in a beer similar to our original Remy: rich and roasty, with incredible flavors of marshmallow, coconut, and dark fruit, with additional layers of chocolate ganache and rare whiskey goodness. Enjoy!",,Taps Remy's Pappy,25,Imperial Stout,Taps Fish House and Brewery,372,,/,100,73,CALIFORNIA,99,
6%,Wild ale fermented in oak foeders with raspberries and lactose,,Crooked Stave / Omnipollo Bianca Raspberry Wild Wild Brett,25,Sour/Wild Ale,Crooked Stave,180,,/,99,43,COLORADO,99,
,"Out of a marriage of our love for things sour and hoppy, comes Alternate World! A 4.6% dry hopped gose. A fermentation with our house brettanomyces strain and souring cultures creates succulent, tart and fruity flavors, balanced by a hint of salt and big American hops to pucker your cheeks and leave with you with a cleansed palate awaiting the next sip. The modest alcohol content allows all of the flavors to shine and remain in balance for a super sessionable thirst quenching beer bound to refresh in the hot summer weather.",,Kent Falls Alternate World,25,Grodziskie/Gose/Lichtenhainer,Kent Falls Brewing,,138,3.82/5.0,96,20,CONNECTICUT,97,3.68
9.6%,This American barleywine has a dominant malty sweetness that is balanced by a huge presence of American hops.  The hops give this beer a citrus-like hop flavor.  Further dry-hopped for added hop aroma.,,Iron Hill Sasquatch,25,Barley Wine,Iron Hill Wilmington,288,,/,97,52,DELAWARE,87,
10.4%,"Blend of our favorite Prichard’s whiskey barrels: single malt whiskey, rye whiskey, and Tennessee whiskey.",,Cycle Pallet 2,25,Imperial Stout,Cycle Brewing,312,,/,100,58,FLORIDA,98,
6.4%,"With 11 different grains used in the brewing process, this is one of the more complex stouts out there.  Several different roasted barleys, wheats, oats, and caramelized grains yield hints of bread, toffee, dark fruits, chocolate and coffee.  Just enough hops for balance, and a traditional English yeast for true stout character.",,Wrecking Bar Jemmy American Stout,25,Stout,Wrecking Bar Brewpub,192,42,/,98,44,GEORGIA,99,
