user,beer,rating
0,0,3.7
1,0,3.8
2,0,3.6
3,0,4.3
4,0,4.1
5,0,5.0
6,0,4.0
7,0,4.4
8,0,3.8
9,0,4.4
10,1,3.7
11,1,3.1
12,1,4.3
13,1,4.2
14,1,4.6
15,1,4.8
16,1,4.3
17,1,4.8
18,1,4.8
19,2,3.9
20,2,3.7
21,2,3.9
22,2,3.9
23,2,3.6
24,2,3.6
25,2,3.9
26,2,4.0
27,2,3.8
28,2,3.9
29,3,4.8
30,3,4.1
31,3,4.3
8,3,4.5
32,3,4.7
33,3,3.8
34,3,4.8
35,3,3.5
36,3,3.7
37,3,3.9
38,3,3.6
39,3,3.8
40,3,4.3
41,3,4.0
18,3,4.2
42,4,4.3
43,4,3.8
44,4,3.2
45,4,4.3
46,4,4.3
47,5,4.1
48,5,4.2
8,5,3.8
49,6,3.8
50,6,3.2
51,6,4.2
52,6,2.0
53,6,4.9
41,6,3.9
54,6,4.2
55,6,3.6
56,7,4.0
57,7,4.0
58,7,3.9
59,7,4.0
60,7,4.2
61,7,4.1
62,7,3.8
63,7,3.4
64,7,3.8
65,7,3.0
66,7,3.8
67,7,3.7
68,7,3.8
69,7,3.2
70,7,3.5
71,7,3.7
72,8,3.0
73,8,3.7
41,8,3.8
74,8,2.8
75,8,2.9
76,9,4.2
77,10,3.3
78,10,3.6
79,10,3.4
80,10,3.6
81,11,4.2
82,11,3.9
83,11,3.8
84,11,4.3
85,12,4.1
86,12,4.0
87,13,4.2
88,13,4.5
89,13,4.1
90,13,4.8
91,13,4.2
92,14,4.1
75,14,3.8
29,14,4.1
93,14,3.0
94,14,4.2
44,14,3.6
95,14,4.2
83,15,3.8
96,15,3.5
97,15,3.4
98,15,3.4
99,15,2.8
100,15,3.6
101,15,3.9
102,15,4.0
60,15,3.8
103,15,3.3
104,15,4.0
30,15,3.8
105,16,4.3
106,16,3.8
37,16,4.2
107,16,4.3
108,16,3.9
109,16,3.8
110,16,3.9
58,16,4.0
111,16,4.0
64,16,3.9
112,16,3.8
113,16,4.1
114,16,4.1
115,16,4.0
116,16,4.0
117,16,4.9
118,16,4.4
119,16,4.4
120,16,3.5
121,16,3.9
122,16,3.9
123,16,4.0
124,16,4.0
125,16,4.2
126,14,3.8
127,14,4.2
4,14,3.9
128,14,3.5
129,14,4.5
130,14,3.9
51,14,3.8
131,14,4.0
132,14,4.1
133,14,4.4
134,14,3.8
135,14,4.0
39,14,3.8
136,14,4.4
137,14,3.9
138,14,4.1
139,14,3.8
140,14,3.7
141,14,4.0
142,14,3.6
143,14,3.6
144,14,3.8
6,14,3.4
145,14,4.5
146,14,3.3
83,14,3.6
147,14,3.8
148,14,4.0
149,14,4.1
150,14,3.4
151,14,3.8
152,14,3.1
72,14,3.4
7,14,3.6
153,14,3.7
154,14,3.8
155,14,3.8
156,14,3.9
157,14,4.5
158,14,3.8
159,14,3.9
41,14,4.0
160,14,3.7
161,14,3.7
49,14,3.4
50,14,3.4
38,14,3.3
162,14,3.3
163,14,3.0
164,14,4.0
165,13,4.5
55,13,3.8
166,13,4.0
167,13,4.1
168,13,4.4
169,13,4.4
170,13,3.7
171,13,4.4
172,13,4.2
173,13,4.2
174,13,3.4
106,13,3.9
14,13,4.4
175,13,4.1
176,13,4.0
177,13,4.0
178,13,4.4
179,13,3.5
180,13,3.8
181,13,4.0
18,13,4.5
182,13,4.5
183,13,4.5
184,13,3.7
185,13,4.7
186,13,4.2
120,13,3.8
187,13,3.6
63,13,3.8
68,13,3.8
188,13,4.4
189,13,3.7
190,13,4.1
191,13,4.0
192,13,4.4
193,13,4.4
194,13,4.0
195,13,4.5
196,13,4.3
